english,chinese
The following Test Procedure is one of several that is recognized throughout the United States for verification of the functioning of backflow preventers.,下列检测程序是几种美国公认的防回流阀功能检测程序之一。
Valuable prerelease feedback from the client,从客户那里获得有价值的反馈
Saying that one of them is Napoleon and the other one isn't seems very hard to believe.,"说其中一个是拿破仑,另一个不是拿破仑，似乎都难以令人信服。"
"Daisy marched into her first day of preschool in Berkeley, Calif., in her favorite pinstriped overalls and carrying a Thomas the Tank Engine lunchbox.",最初她在伯克利上幼儿园，上学头几天她穿着细条纹的裤子，背着Thomas便当盒。
"""Of course, I've already received a call from a paintball guy who wants a safety mask that won't fog from heavy breathing, "" Rubner says.",鲁布纳说：「当然，我已经接到玩漆弹朋友的电话，希望能做出气喘嘘嘘也不会起雾的护目镜。」
"When Apple first released the iPhone, it lacked capabilities to link up securely with corporate e-mail systems.",当苹果公司刚刚发布iPhone时，其并不具备与公司邮件系统安全连接的功能。
"After this, many people went to her home to ask her painting charming grape, incrassate cereus… She became the local favorite watercolorist.",在这以后，许多人还上门向她求画，请她画诱人的葡萄、肥厚的仙人掌……她成了一位当地人喜欢的水彩画家。
"The final article in this three-part series covers other ways of cross-referencing data, including joining tables.",三篇文章组成的系列中的最后一篇文章，将会讨论交替引用数据的其他方式，包括交接表格 。
The present situation of the specific strength of the Chinese elite discus throwers was researched by applying investigation and gray relative analysis.,运用调查法和灰色关联分析，对我国优秀铁饼运动员专项力量素质现状进行了研究。
"Boiler feed pump is one of the most important device of the ethylene equipment. As the development of the market, the capacity of the former device cannot meet the production requirements.",锅炉给水泵是乙烯装置的重点设备之一，随着市场的不断发展，各乙烯厂都在增容改造，原有的设备能力已不能满足生产需求。
How to save those students depends on the extent to which they violate the law and whether they have reached the legal age.,对有罪错学生采用何种教育挽救方式，取决于他们违法行为的严重程度和是否达到法定责任年龄。
The chief source of livelihood of lesser dignitaries was petty office and graft.,较小头头的主要生活来源，是占据一个小职位，收点贿赂。
"Day after day, year by year, teacher, your hair be no longer jet black and bright, but increment silver silk, change of dusk.",日复一日，年复一年，老师，您的头发不再乌黑亮丽，而是增加了银丝，变的昏暗昏暗。
"On the base of considering anti-jamming of system, designs the software and hardware, workouts inspecting programs of PC, realizes self-correcting of chromatically warp in printing.",在考虑到系统的抗干扰基础上，设计了系统的软硬件，编制了上位机监控程序，基本实现了印票机印票过程的套色偏差的自动纠正。
"Luckily the snapshot are now included, to do almost a month, each morning is ranked 78, one is 14 next afternoon.",现在快照收录都还好，做的快一个月了，每次上午排名就是78，一到下午就是14旁边。
"At that rate, a one-mile stretch of four-lane highway could power about 500 homes.",以这样的速率，一段1英里4车道的公路段将可以为500个左右的家庭供电。
"Near the studio, there are between the hotel, I have good price with the store speakers in preparation for painting goes back on that wall is called the alley, no one knew me, nobody knows my past.",画室的附近，有间旅馆，我已经与店主讲好了价钱，准备蜗居在那条叫画墙的小巷内，没有人认识我，没有人知道我的过往。
"This is Bai Yitong, a 19-year old college graduate.",这个女孩子叫白一彤，是一名普通大学生。
"Already, researchers are planning new ground- and space-based instruments to take spectra of the atmospheres of some of those habitable planets.",而且，研究者们正在计划建立新的地基和空基观测设备，以记录部分新发现适合居住的类地行星大气层的光谱。
"If the bottle falls down from the narrow railings, it can hurt others.",胶樽弃于窄窄的围栏上有可能堕下而伤及无辜。
"ISMAY: She is the largest moving object ever made by the hand of man in all history. And our master shipbuilder Mr. Andrews, here, designed her from the keel plates up.",伊斯迈：这船是人类历史上手工制作的最大的交通工具，我们的造船专家安德鲁斯，设计所有从龙骨往上部分。
"""Particles of dust and smoke are practically transparent in the microwave range, but the radiation is still strong enough for the source of a fire to be detected, "" said team leader Nora von Wahl.",“灰尘和烟雾的颗粒实际上在微波范围内是透明的，但辐射仍然很强，足以被检测到火源，”研究组长Nora von Wahl说。
Mr Proglio's position at the top of two firms in related businesses is regarded in French boardrooms as a shocking breach of good corporate governance.,普格利奥先生在两家业务上有联系的公司担任要职，法国董事会会议室内把这视为扰乱良好的公司治理。
The accident happened by chance.,事故是偶然发生的。
"Arriving in Georgia two weeks early, she was the only Fulbright fellow on campus, but she made friends quickly, starting by knocking on neighbors’ doors.",她早到佐治亚州两个星期，是校园里唯一的富布赖特学者，于是她去敲邻居的门，很快就交上了朋友。
The children made the house at sixes and sevens.,那些孩子把家里搞得乱七八糟。
Delta Air LinesInc. is spending $1 billion on fleet upgrades through 2013 including lie-flatseats to attract more business-class passengers.,达美航空公司（Delta Air Lines Inc.）预计在2013年将花费10亿美元用于飞机升级，其中包括设立平躺式座位以吸引更多商务舱乘客。
"Today, I am ending one journey to begin another.",今天，我将结束一段旅程，而开始另一段。
Then I poured water on the bed.,接着我拿水泼到床上。
The stain TSB011's pathogenicity to Aslaarposina sasakii was confirmed by detecting lethality rate and microscopic examination paraffin section.,经过对桃小食心虫致病力的检测和石蜡切片的显微镜观察，证实菌株TSB011对桃小食心虫具有较高的致病力。
"VBAC is considered safe if you are older than 35, you have a large fetus, or your pregnancy goes beyond 40 weeks. But these things do lower your chance of being able to deliver vaginally.",如果你年过35岁，胎儿过大，或怀孕超过40周，VBAC对你而言仍然是安全的，但是这些情况还是会降低你自然分娩的机会。
"Having been given a piece of meat, the homeless dog walked away.",得到一块肉后，那条流浪狗走开了。
Children must develop a sense of right and wrong.,孩子们必须培养判断是非的能力。
"Leisure is a historical field. In class society, leisure has class character.",休闲是一个历史范畴，在阶级社会里，休闲具有阶级性。
"It mainly damages basal stock of sweet orange trees, inducing foot rot, tree declining, yield decreasing, even tree death.",该病是一种土传病害，主要危害甜橙类柑桔树近地表根颈部，引起腐烂，导致树势下降。
Software scouted for variations in the image under each spectral band.,软件会侦测出每张图像在每个光谱波段下不同的变化。
"The narrow way: difficulty, trouble, affliction, distress because we have changed our thinking and decided to follow Jesus which is contrary to the way of the World.",窄路意味着：困难、艰难、苦难和压力。这是因为我们心意更新，决定跟随耶稣，与这个世界格格不入。
"You'd be forgiven for imagining Mr Obama reclining into his seat on Marine One, lifting off from the White House lawn, breathing a small sigh of satisfaction.",我们可以想象，奥巴马斜靠在他总统专用直升机座椅上离开白宫草坪时的惬意神态。
"""Biorefining is very promising, "" said Gordon Schrimp, a senior fuels specialist at the California Energy Commission.",“生物精炼前途非常广阔，”加利福尼亚能演委员会资深燃料专家戈登·希里姆普说。
"Hemoperfusion is a kind of extracorporeal blood purification technique, which has been applied to treat acute poisoning.",血液灌流作为一种体外血液净化技术，多年来一直只应用于急性中毒的治疗。
"At times, when they got suspicious, I'd lose on purpose at first and then sting them proper.",有时他们会对我起疑心，我就在交易开始的时候故意输掉，接着再彻底赢回来。
It was believed the processability of UHMWPE was improved by the decrease of the apparent viscosity by HBP.,初步认为HBP通过降低混合熔体的表观粘度来改善UHMWPE的加工流动性。
The goods were landed from the ship .,货物被从船上卸到岸上。
"The principle, application and exploratory development of semiconductor saturable absorption mirrors for passive Q-switching of solid-state lasers and fiber lasers are emphasized.",着重介绍了固体激光器和光纤激光器调Q用半导体可饱和吸收镜的原理、研制方法及应用状况。
She blacked out the words she didn't want.,她把自己不想要的字眼都涂掉了。
"Five brothers and made a song in memory of their grandfather to Yu's achievements and character, talk to the heads of the miserable feeling sad.",五兄弟就作了一首歌来追念他们的祖父禹的功绩和品德，倾诉目下的凄凉悲哀之情。
Foreign Minister Yang spoke highly of the work of Margaret Chan and indicated the central government will actively support her re-election.,杨外长高度评价陈冯富珍的工作，表示中央政府将积极支持她竞选连任。
"Kangkang, what's your home like?",康康，你的家什么样？
This paper presents a computer program for the realizability of a cutset matrix.,本文给出“割集矩阵可实现性算法”的计算机程序。
Substandard goods in the storehouse are to be sold at a low price.,仓库里有些处理品要拿出来贱价销售。
"First, Mr. Stone Lee our sales manager, will make a few remarks.",首先由我们的销售经理斯通·李发表谈话。
Gets or sets the default succeeded callback function for the service.,取得或设定服务的预设成功回呼函式。
"The most exciting innovation of all is the External Connection Engine, which is how we define ‘the internet.",最让人兴奋的创新是对外的连接引擎，也就是我们对于“因特网”的定义。
"This visage, no mere veneer of vanity is a vestige of the vox populi , now vacant, vanished.",容貌只是浮华的外表，而它更是人民心声的显露，现在已经空缺，消逝了。
"When I grew older and met with Bishop Leadbeater and the Theosophical Society, I began to see the Master K.",在我长大一些并遇到Leadbeater主教与通神学会后，我开始看见K。
"In the study, 1,002 patients were randomized to a single dose of 1 g of ertapenem or 2 grams of cefotetan infused over a 30-minute period within 60 minutes before elective colorectal surgery.",在此研究中，1002名病人在进行择期手术之前随机输注1克剂量的厄他培南或2克剂量的头孢替坦，输注在60分钟之内完成，大约有30分钟的输注时长。
NFPA 130. :Standard for Fixed Guideway Transit and Passenger Rail Systems .,固定的导轨转接和旅客轨道系统标准。
Ask for a volunteer to be a timekeeper for your meetings—make it his or her job to remind you of agenda item time limits.,请一位志愿当会议计时员——让他/她负责提醒你每项议程的时间限制。
"They were used for the treatment of pulmonary tuberculosis, leprosy, Mycobacterium complex avium (MAC) and other Mycobacterium diseases.",它们在临床上用于肺结核、麻风、爱滋病并发症等疾病的预防和治疗。
"I don't want to sound pretentious, but it makes the sculpture seem almost alive.",我不想说的自命不凡，但是，它使雕塑几乎活了起来。
Treescraper refers to a tall building that resembles a tree or has tree-like characteristics.,“树形摩天大楼”是指像树一样或具有像树一样特征的高楼大厦。
"I only watched and listened during the lecture, without forcing to conclude a kind of interpretation which would be generally useful.",至少我在讲座现场的时候，只是看和听了，没有想到硬是要归纳出可以推而广之的解读方式。
It truthfully reveals the poet's blight for his banishing trip with his forlorn and lonely feeling by capturing the atmosphere of a courier-stop on a cold night.,通过夜宿驿舍的环境描写，真实地表达了作者谪徙羁旅的苦境和凄凉寂寞的心情。
"Every bit of land is tilled and farmed, even the scrabbly, rocky hillsides and the narrow strips of grass along the highway.",还有少量土地被耕种养殖，像火箭一样的山坡灌木丛生，沿着大路旁长着窄细的草。
"These people are anxious about the security of their property and, like their fellows in the countryside, are becoming more assertive .",他们极于想知道自己的物产有多安全，并且和农村里的同仁一样，变得更加坚持己见。
"Past all forget, smoke and wide. Selflessness.",如烟往事俱忘却，心底无私天地宽。
I can buy insurance for myself this year and I can stop and if I--there's nothing gained-- or next year I would just have to pay it again.,"这一年也许我会买这种保险,但是如果觉得划不来了,我可以停买,或者在下一年续买"
"Nature has always displayed this duality in terms of its cycles - the winter and spring, planting and harvesting, the high and low tides, day and night, it’s everywhere you look.",无论在何处，你总能看到大自然也在循环播放着这种两重性—冬天与春天、播种与收获、潮起与潮落、白天与黑夜。
"The aesthetic system of Schopenhauer is based upon the idealistic philosophy of voluntarism, meaning that all phenomena of beauty are the presentational forms of the objective nature of Ideas.",叔本华的美学体系直接建立在他的唯意志论的唯心主义的哲学之上。认为一切美的现象都是理念的客体本质的表象形态。
Always open presents on Christmas Eve or leave plate of cookies out for the big guy?,你总会在圣诞前夜打开礼物或者给他准备一大盘饼干吧？
The brown long-eared bat has enormous ears that stretch three-fourths the length of its entire body.,这种褐色的长耳蝙蝠有两只大大的耳朵，大概有它整个身体的四分之三长。
"PETER WARREN: ""We've seen a number of very large companies that have suffered some tremendously embarrassing losses of data. So I actually think that it's a learning curve for everybody.""",匡沃伦说：“我们已经看到了非常大的公司数目都出现了一些数据非常尴尬的损失，所以我倒认为这是一个对每个人的学习曲线…”
"Chinese scientists are evaluating cultivation of japonica hybrid rice, to increase grain production.",中国科学家正在评估是否种植日本山葵混种米，以增加稻米产量。
"Oh, Hold on the strap, The subway stops suddenly sometimes.",拉住抓环， 地铁有时候会突然刹车。
"We think the discussion in this month's article shows, once again, that JSF provides a flexible, powerful, and pluggable framework for Web application development.",我们认为本月文章中的讨论再次声明了以下这点，即 JSF 提供了一种灵活的、强大的可插入式 Web 应用程序开发框架。
"CONCLUSIONS: Provided there is an appropriate selection process, patients with synchronous multiple primary lung cancer are expected to benefit from surgery.",结论：假若这个是一个适当的选择过程，肺同步多发原发癌患者将从手术中获益。
"A friend told me: This girl suffering from vasculitis is a rare disease, she has been for several months, and now can not walk.",朋友告诉我：这姑娘患的是一种罕见的脉管炎病症，她已经有好几个月了，现在不能走路了。
"Besides the steady margin for the variation in process and equipment, the dynamic margin for control must be considered and its size is related to the control system.",对于再生器的藏量裕量和主风裕量来说，在考虑过程工艺条件变化和设备条件变化留出的稳态裕量之外，均需再留出一定的动态裕量，以满足过程操作和控制的要求。
"Some women may have used Fulian protein, and usually Fushang 3-5 minutes.",有些女性可能曾经使用蛋白敷脸，而且一般都会敷上3-5分钟。
"The result shows that the strength feature of knee joint, back and waist muscle can be evaluated based on the parameters of relative moment of various joints, acceleration time and angle of moment.",结果表明，古典式摔跤运动员膝关节、腰背和肘关节力量特征，可用各关节作功时的相对峰力矩、加速时间和峰力矩角度的参数大小评价；
Adult sheep ear skin cells were cultured and passaged.,对成年绵羊耳部皮肤细胞进行培养传代。
"To flesh. "" But without love, marriage, parenthood, and how the suspect dogs?""",可是没有爱情的性、婚姻、生儿育女，与猪狗何疑？
This strange-sounding food was named after a part of northern England where it was first created.,这种名字奇怪的食物以它在英格兰北部的一处起源之地命名。
The evaporators in the ice-water temperature uniformity equipment take the shape of vertical spiral tube which lie in the ice water pool.,冰水均温装置中的蒸发器采用立式螺旋管形式放置于冰水池内，螺旋管内为超倍的氨供液，管外用气泵往冰水池内鼓入气泡起到强制对流换热效果。
"High yielders &carry trades came under pressure, as the market wanted nothing to do with the extra risk in this uncertainty environment.",多产者和利差交易者面临巨大市场压力，因为市场在抵制一切与不确定的环境有关联的风险因素。
"Adjust the blanking switch of heating ore bin to appropriate ore (ore speed), then the machine can work properly. These are the following factors that can influence the sorting effect.",拉动加温矿仓的下料开关，调到适当的给矿量（给矿速度），本机即可进行正常工作。电选机的操作分选过程中直接影响选矿效果有如下因素。
The production practice of comprehensive recovery of indium and germanium in Yunnan Luoping Zinc and Electricity Co.,介绍了云南罗平锌电股份公司综合回收铟锗的生产情况。
"With hard details few and far between, panicked relatives gathered at Singapore's Changi airportwhile in Surabaya hundreds of Indonesians thronged the terminal.",随着线索越来越少，悲痛欲绝的亲属在新加坡樟宜机场聚集，而在泗水，数以百计的印尼人挤满了航站楼。
Users supposedly will be able to update entries with prior approval from EcuRed administrators.,用户能够在EcuRed管理员事先批准后，升级词条。
"To open Terminal Services Configuration, click Start , click Control Panel, double-click Administrative Tools, and then double-click Terminal Services Configuration.",组策略将替代那些由终端服务配置工具设置的配置。
"Elderflowers, redcurrants, cherries and strawberries are also in season.",接骨木花，红浆果，梅子和草莓也都正应季。
"It is to be noted, however, that the Ascendant has a stronger significance for the life and constitution of the native than does its ruler, if the latter is absent from the First House.",如果命主星不在第一宫，那么，在人生和个性的形成上来看，上升必然比命主星更具影响力。
"In any case, did not the ambiguity of the term Lustprinzip become obvious to everyone long ago ?",无论如何，「快乐原则」这个术语老早以前，大家不就已经明显觉得是模稜两可？
"Summon any one and make this request: ""Please look in the encyclopedia and make a brief memorandum for me concerning the life of Correggio"".",召唤任一人，并做此要求：”请查百科全书， 关于科雷乔的一生，并给我精简的备忘录”。
"The emperor of Russia Peter I was given the appellation ""the Great"".",俄皇彼得一世被加上了“大帝”的称号。
"""ISPs and rights-holders will share the costs, on the basis of a flat fee that will allow both sides to budget and plan, "" he said.",他说：“在定额成本的基础上，ISP（网络服务供应商）和权利人会分摊成本，使得双方都能够进行预算和计划。”
"Accordingly, the concept of inclined equidistant curved surface and its corresponding formulae are proposed. Its practical application has verified the reliability of the method introduced.",并描绘出制造相关的几何模型，提出了斜等距曲面的概念及相关公式，并介绍它们在制造混流泵叶轮中的应用，最后用实例验证所述方法的可靠性。
"With increasing application of immunosuppressor, broad-spectrum antibiotics, organ transplantation and invasive manipulation, the incidence of invasive fungal disease is rising.",随着免疫抑制剂、广谱抗菌素、器官移植和侵袭性操作应用的增加，侵袭性真菌病的发生率也相应地增加。
Tougher still remains the task of projecting this staff as capable of sustaining a long run.,要让人相信目前洋基的投手阵容可以维持整季成功仍然是件困难的工作。
"Another great boost for the squad was the return of Spanish starlet Francisco Duran, who made his first appearance since November 2008 when he came on as a 73rd minute replacement for Chris Mavinga.",另一个令人振奋的消息是西班牙新星弗朗西斯科·杜兰伤愈回归，他受伤前最后一次代表球队出战还要追溯到2008年11月，本场比赛杜兰在第73分钟接替克里斯·马文佳出场。
We really should be inspired by the fact that the Kakapo is still with us.,我们真的应该为枭鹦依然与人类生活在一起而欢欣鼓舞。
This tension will only be resolved when both sides approximate each other's worldviews and accept that they will never have identical cultural values.,只有当双方互相了解了对方的世界观，并接受他们彼此的文化价值观永远不可能完全一致这个现实之后，这种紧张才能得以解除。
"Part two concrete analyzes the content about Jiang Kai-shek's citizen characters reform thoughts, and points out his knowledge about Chinese people character and the requirement about modern people.",第二章具体讨论蒋介石国民性改造思想的内涵，指出蒋介石对中国国民性的认识及其对中国现代国民的要求。
It is not clear why Apple is collecting this data.,苹果为什么会手机这一数据尚不清楚。
Show me the painful tooth.,指出哪颗牙齿痛。
"The new, unifying visual identity opens a gate to these new experiences, it lowers the barriers for visiting, and facilitates the increased knowledge of our precious surroundings.",统一的新视觉标识就像为这些新体验开启了一道门，减少了游览的屏障，增进了我们对周围珍贵的自然环境的认识。
"The shaping of the volumes brings light in between the streets and to the solar facades, but it also gives houses individual character.",建筑物的这种造型将光引到建筑间的街道上，以及向阳面上，但这种造型也赋予了住宅个性。
"After taking out almost $6,000 in loans to pay employment agency fees to work in Singapore, Ali was soon laid off when the economy soured and shipyard work dried up.","阿里贷款向劳工中介机构付了近6,000美元的中介费才在新加坡找了份工作，但随着经济恶化，造船业工作越来越难少，他很快就被炒了鱿鱼。"
This error indicates that the test controller was not able to collect performance counter results from all the computers in the specified sample rate for the load test.,这个错误表示测试控制器无法以负载测试的指定取样率，从所有电脑收集效能计数器结果。
"Therefore, in the initial stage of vegetation growth (low coverage), the biological crust should be strongly protected against disturbance;",由此可得出，当林草植被处于生长初期（即覆盖度较低）时，应大力保护生物结皮不受干扰；
Why people buy the fake goods?,为什么人们会买到假冒伪劣产品呢？
"The trick then works automatically, no matter which sequence of folds the audience chooses.",不管观众选择怎样的折叠序列，戏法之后就自动变出来了。
"Last week, the UK  Guardian newspaper reported that security researchers had discovered a log of locations being locally cached on an iPhone 4, from a report posted at  O'Reilly.",英国 卫报上周报， O'Reilly上一则新闻报道有安全研究员在iPhone4的本地缓存中查到一组位置信息。
"Because it was outside the Civil Guard office, [police] were there straight away, cordoning off the road and moving people out of the way.",由于爆炸发生在首府警卫队办公厅外，警察马上就抵达现场，负责封锁交通和疏散人群。
"Dr. Hovorka, a principal research associate in pediatrics at Cambridge, said he had been a consultant or speaker for several makers of diabetes products.",剑桥大学小儿科研究负责人Hovorka 博士说他现在已经是几家糖尿病给药装置生产商的顾问和代言人了。
"Third is the broadcast announcement , which is often used in public places such as a station, airdrome, etc. , and is often used when an emergency happens.",三是广播式通知，这类通知多用于一些公共场所如车站、机场等，一般是当紧事件出现的时候使用。
Echocardiography including tissue Doppler imaging (TDI) of the right ventricle was performed in all patients.,对所有患者右心室行包含组织多普勒（TDI）在内的心超成像。
"John Podesta walked with me down the colonnade to join Hillary, Chelsea, and the Gores on the state floor, where we would soon greet our successors.",约翰·波德斯塔陪同我走下楼去，希拉里、切尔西和戈尔一家都等候在典礼专用的楼层，在那里，我们不久后将欢迎下一任总统。
"Company's existing sheet metal shop, spray-paint workshop, assembly workshop, and a strong after-sales service team.",公司现有板金车间，喷漆车间，组装车间，和强大的售后服务队伍。
"Now when a user submits a search, you can check for a cache-hit and immediately load the cached results.",现在当一个用户提交搜索时，您可以检查高速缓存命中情况，并立即加载缓存的结果。
"Rescuers search for survivors in the rubble of quake-demolished building in Yushu county, China on April 16, 2010.",救援人员在对地震摧毁的建筑物废墟中的幸存者玉树县搜索，于2010年4月16日中国。
They also brought in senior Coverdable management consultant Keith Edmonds to work on the team's managerial skills and improve communication within the team.,他们还从著名的科佛戴尔公司聘请了资深管理顾问凯斯·埃德蒙来知道团队的管理技能，改进团队内的相互交流。
"With 162M internet users across China, it is second only to the US (211M internet users) and is becoming a huge adopter of technology.",中国拥有1.62亿互联网用户，是仅次于美国 （2.11亿互联网用户）的第二大用户群体，并且正在成为一个新技术的庞大使用群体。
LPSVR decreased computational complexity of time and space by replacing quadratic programming with linear programming.,LPSVR采用线性规划取代二次规划，使得计算的时间和空间复杂度大为降低。
"The ability to inject the fibroin solutions, suspensions and composites can reduce the need for many types of surgical procedures that are used to replace or repair bone and other tissues.",丝心蛋白溶液，混悬液和组合物的能力可降低用于替换或修复骨和其它组织的很多类型外科外科手术程序的需要。
"2 way 165mm (6.5"") kit, separate crossover (passive version), grilles included. The defining standard dedicated to the most accurate sound reproduction in the low, midrange and high frequencies.""",165毫米（6.5“）二路套件、独立分频器（功率分频模式）和网罩。把最精确的低中高频声音重现作为专门的定义标准．。
Naturallight wood ceiling molding is inline with laminate flooring parquet floor design and coordination and cabinets.,浅木本色的天花板造型，是为了配合地面的强化木地板拼花设计，并和橱柜相协调。
We hope thattheNorth Koreans will grant clemency and deport them.,我们希望，北韩给予宽大处理，并将他们递解出境。
This paper dissects a new viewpoint posed in recent years and puts forward a different opinion about the issue.,本文深入剖析了近年出现的一种新观点，提出自己关于这个问题的不同认识。
"This month, The Washington Post reported that the District is being overwhelmed by a rise in homelessness, resulting in about 200 families jammed into a shelter meant for 35.",华盛顿邮报本月曾报道称，由于无家可归者人数上升，华盛顿特区已不堪重负，已有200个家庭被迫挤入只能容纳35个家庭的收容所内。
Jim looked about the room curiously.,杰姆好奇地向房里四下张望。
"This multi-platform support is something that I've put a lot of effort into, and am particularly proud of.",这种多平台的支持，是我竭力所为，也是我颇感自豪的一点。
In the end I got seventy marks.,最后我收了七十马克。
Drive ahead just a couple of blocks. You can park at that corner lot.,向前开几条街，你可以把车停在转角的地方。
They made him their leader.,他们推他为领袖。
WTO anti-dumping dispute solution mechanism include anti-dumping domestic dispute solution mechanism and anti-dumping international dispute solution mechanism.,WTO反倾销争端解决机制包括反倾销争端国内解决机制和反倾销争端国际解决机制。
"The mass of a black hole is confined to an infinitely small point at its centre, called a singularity.",黑洞所有的质量都处于其中心一个无穷的小点上，我们叫它“奇点”。
"In streaming transfer mode, the receiver can begin to process the message before it is completely delivered.",在流传输模式中，不必等到消息全部传递完，接收方便可以开始处理该消息。
"Analytics firm, Flurry, has published a report which shows that games were the number one category of apps downloaded on the iPhone every month from August 2008 until August 2009.",调查公司Flurry的一份报告显示，从2008年8月到2009年9月，iPhone平台下游戏软件的下载量每个月都位居榜首。
"In 2001, ""Marriage"" amendment process, in 1980, taking into account legal marriageable age set by the basic feasible, so this did not change.",在2001年《 婚姻法》修订过程中，考虑到1980年确定的法定婚龄基本可行，所以对此未再作改动。
But it involves less sex than with an entertainment sex worker.,实际上，它包含的性爱没有娱乐性工作者多。
The miners are trying to get factory workers to join them on the picket line.,矿工正设法让工厂工人加入他们的纠察队人墙。
"And an analyst at Barclays Capital, Douglas Anmuth, estimated in a research report released on Tuesday that sales could hit $1.5 billion in 2011.",在周二发布的一份研究报告中，巴克莱资本的分析师道格拉斯•安姆斯估计，2011年的销售额可能高达15亿美元。
"And I think law fits into that,",所以我觉得律师挺适合我的。
"The oft-quoted line became an anthem for Didi, as it went head-to-head with Uber in losing billions of dollars subsidising riders and drivers in a bid for market share.",随着滴滴与优步短兵相接，为争夺市场份额不惜亏损数十亿美元补贴乘客和司机，这句经常被引用的话变成了滴滴的凯歌。
"To measure the tension in blades which are already under tension the tension meter should be assembled as described above BUT with the adjustable arm "" IN"" position.",测量张力时，张力仪应该按上述说明装配，但是指针应该在可调节位置。
It is when we are in this state that literary thought spring to mind: that silence is a ray of sunshine whilst the word is mist;,而正是此时，我们思如泉涌：沉默是一缕阳光，而言语则是一缕薄雾；
"The organizers of the study disputed the main idea of what has been called ""trickle down"" economic theory.",这项研究的组织者对所谓的涓滴效应经济理论的主要观点表示异议。
To hope one's children will have a bright future is all parents' hope. However this desire is so strong that it become a heavy burden to the parents and children.,“望子成龙”、“望女成凤”是所有父母的期冀，然而这份愿望过于执著变成了一种枷锁和负担，沉重地压在父母和孩子的身上。
"Conklin couldn't confirm media reports that the chimp had Lyme disease, though he did say investigators were taking their time with the case to determine what may have provoked Travis to attack Nash.",康克林并不认同媒体关于这个黑猩猩有莱姆病的报道，尽管他说调查人员将会进行调查以确定是什么诱使特拉维斯攻击纳什。
The Wisdom Journal takes on the financial crisis with Where Do We Go From Here?,《明智》杂志记录着在金融危机到来的时候我们该何去何从？
Embroided logo detail on left pocket.,左口袋上的绣花标志细节。
"And if you're not prepared to believe it, it looks as though you've got to give up on the personality view.",如果你无法接受这个观点，那看来你得放弃人格理论的观点了。
The cobalt-based catalysts supported on CeAl-PILM were prepared by impregnation and could be applied for F-T synthesis reaction.,通过对比分析，探讨了在地质条件下碳、氢经历费-托合成和由过渡金属催化产生烃的可能机制。
Hair: A 10-pound hairball was found in the belly of an 18 year old woman in New England.,美国东北部新英格兰地区一名18岁女孩肚子里竟然有10磅重的头发！
Don't waste your money on fancy cleaning kits for your chrome-plated carbon steel golf club heads.,不必浪费钱购买用来清洁你的镀铬碳钢高尔夫球棒头的精美清洁工具。
"Although JIT compilation provides some advantages for speeding up execution, it does so at the cost of larger amounts of memory.",虽然 JIT 编译为加快执行提供了一些优势，但是这是以巨大的内存为代价进行的。
"Yet despite the importance and pervasiveness of networks, scientists have had little understanding of their structure and properties.",但即使网络是如此重要且无所不在，科学家对于网络的结构与特性却所知不多。
"The theory of practice and generation a unique way of thinking which is different with preformation and reductionism, it insists the doctrine that matter is the only reality.",实践天生的社会公正论是不同于预成论、还原论的思维范式与独特方法，它坚特物质第一性，意识第二性。
Kleptomania is the disease in which a person has great difficulty resisting the impulse to steal something.,盗窃癖是指有人很难抵制偷东西的冲动的一种疾病。
"However, , we can't simply attribute its powerfulness and prosperity to its lucky escape fromthe destruction of the two world wars.",然而，我们不能简单把它的强大与繁荣归功于其幸运的避开了两次世界大战带来的破坏。 。
"But, in 1919, the victors of the war wrote Germany's guilt into the Versailles Treaty at the infamous Hall of Mirrors, and collectively decided that it should pay a high price for that guilt.",但战胜国在声名狼藉的镜厅签订《凡尔赛条约》，数落德国的罪责，并集体做出了德国必须要为之发动战争的罪责付出高昂代价的决定。
Of course raising kids in such a materialistic world with advertisers taunting children to buy-buy-buy doesn't make matters easier.,诚然，在广告商诱导不断买-买-买的这样一个物质世界里，抚育孩子会更加的艰难。
"An aerial sowing seed arrow is applied in the plant sowing work of forest, agriculture and environmental protection and other fields.",飞播种子箭用于森林，农业，环保等领域的植物播种工作。
Even the guy who only makes a few dollars a day picking up passengers on his bike. Even the woman selling things by the roadside.,哪怕是那些每天只能赚几美元的用自行车载客的家伙，甚至是路边摆摊的妇女。
Conclusion AOPP-BSA is capable of inhibiting inducible NO production in MPMs.,结论晚期氧化蛋白产物可抑制MPM诱导型一氧化氮的产生。
"In this thesis, the powertrain parameters optimizing methods and the control strategy of a PHEV have been analysed and studied.",本文以某型PHEV为对象，对其动力系统参数的优化方法及其控制策略进行了分析研究。
"Although a balanced diet is important, there are other factors which contribute to a healthy life. People in some cultures do not eat a balanced diet, but use limited food sources.",虽然均衡饮食很重要而且是至力于健康生活的关键，人们经常在某种文化的熏焘下而没有合理饮食，并经常控制食量。
"Guided by the new curriculum and aiming at cultivating talents in the new century, we should try our best to improve the design of classroom teaching in primary math course.",以新课标为指导，以新世纪对人才的要求为目标，优化小学数学课堂教学设计要在“力图开放”和“发展迁移”上做文章。
Should fragrance be applied to clothes?,香水可以喷洒在布料上面吗？
He tried to get Christ to fall just as he had gotten Adam and Eve to sin in the Garden of Eden.,他试图使耶稣像亚当和夏娃在伊甸园中犯罪一样被击垮。
